tag,Tier,answer_count,avg_score,avg_response_hrs,accept_rate_pct,median_score
docker,beginner,1782,4.84,60.8,23.1,1.0
docker,expert,491,1227.97,36.0,42.4,16.0
docker,intermediate,945,65.35,75.2,10.8,5.0
go,beginner,1345,6.15,61.8,24.0,1.0
go,expert,382,1080.35,37.1,40.1,21.5
go,intermediate,725,82.79,74.0,13.4,5.0
java,beginner,40173,5.94,61.8,22.5,1.0
java,expert,11823,5871.23,36.4,41.0,17.0
java,intermediate,21114,267.9,75.9,11.6,5.0
javascript,beginner,46079,5.54,61.8,22.5,1.0
javascript,expert,13470,1053.09,37.0,41.8,16.0
javascript,intermediate,24393,105.87,76.2,11.6,5.0
machine-learning,beginner,2857,5.03,62.3,23.8,1.0
machine-learning,expert,796,267.17,38.4,45.4,17.0
machine-learning,intermediate,1457,109.08,76.3,11.3,5.0
python,beginner,43920,6.42,61.9,22.7,1.0
python,expert,12748,2354.18,36.6,42.8,16.0
python,intermediate,23311,212.09,75.9,11.7,5.0
react,beginner,3769,5.25,62.4,23.0,1.0
react,expert,1114,51416.33,36.9,41.3,17.0
react,intermediate,2025,140.93,77.1,12.6,5.0
rust,beginner,377,4.5,61.6,22.0,1.0
rust,expert,103,238.65,34.3,44.7,18.0
rust,intermediate,196,26.3,71.6,12.2,5.0
sql,beginner,15660,5.42,61.9,22.7,1.0
sql,expert,4604,1363.02,36.5,41.7,16.0
sql,intermediate,8338,60.24,76.4,11.2,5.0
typescript,beginner,2608,4.58,61.5,23.2,1.0
typescript,expert,708,654.33,36.6,40.4,16.0
typescript,intermediate,1251,9396.5,78.0,10.9,6.0
