Location,user_count,expert_count,avg_reputation,avg_q_score_per_user,productivity_index,expert_pct
Germany,3410,5,184.0,1856844.89,1856844.89,0.1
South Korea,472,3,267.0,323806.13,323806.13,0.6
France,2342,6,226.0,52085.89,52085.89,0.3
United States,12463,16,202.0,13922.83,13922.83,0.1
Netherlands,951,2,205.0,12469.24,12469.24,0.2
United Kingdom,3444,3,181.0,8248.16,8248.16,0.1
India,9574,12,216.0,5293.32,5293.32,0.1
Russia,940,1,362.0,3031.62,3031.62,0.1
Japan,981,1,180.0,2647.33,2647.33,0.1
Italy,462,1,190.0,2520.37,2520.37,0.2
China,951,1,189.0,1109.37,1109.37,0.1
Canada,2934,2,177.0,895.66,895.66,0.1
Bangladesh,1395,0,154.0,272.3,272.3,0.0
Sweden,473,0,168.0,220.74,220.74,0.0
Pakistan,490,0,178.0,166.59,166.59,0.0
Australia,1962,0,153.0,108.93,108.93,0.0
Spain,507,0,153.0,104.89,104.89,0.0
Brazil,2385,0,184.0,96.69,96.69,0.0
Poland,923,0,168.0,74.12,74.12,0.0
