Id,DisplayName,Reputation,Tier,Location,questions,answers,viral_questions,accepted_answers,badge_points,platform_value_score
36266,algomaster1132,10966,expert,Germany,490,907,388,380.0,100.0,5836962103.66
20506,nuller84,26542,expert,Germany,512,866,414,373.0,130.0,335402178.92
1160,user_1160,12100,expert,Germany,478,798,371,330.0,100.0,166273584.5
19570,algocoder362,17745,expert,South Korea,546,826,431,353.0,110.0,157659879.95
12273,yuki_patel901,11950,expert,India,523,887,407,371.0,100.0,90646757.0
26692,user_26692,29043,expert,France,562,837,447,349.0,130.0,72027582.93
2105,codedev7871,56888,expert,United States,512,899,403,356.0,190.0,68932606.88
11556,gitpro5384,58554,expert,United States,554,875,424,370.0,190.0,44332458.04
45211,fatima_kumar481,10230,expert,France,537,868,437,371.0,100.0,22782504.3
17198,techmaster5483,12022,expert,United States,539,903,438,373.0,100.0,19424263.22
24175,fatima_jones948,13183,expert,United Kingdom,587,849,452,360.0,100.0,17226140.33
29185,yuki_patel293,10099,expert,India,543,883,429,379.0,100.0,16451861.49
3828,user_3828,1695,intermediate,United Kingdom,45,85,16,12.0,29.0,16347829.45
19138,user_19138,32789,expert,United States,511,894,403,355.0,140.0,16108067.39
3251,sophia_smith974,17249,expert,United Kingdom,556,849,423,370.0,110.0,15055647.49
37877,olivia_kumar389,27507,expert,France,523,855,415,368.0,130.0,14380231.57
5398,pixeldev4543,10858,expert,United States,512,888,386,363.0,100.0,12946479.08
17989,pixelgeek1210,10976,expert,Netherlands,483,926,379,390.0,100.0,10999001.26
13007,asyncwizard236,12561,expert,Netherlands,554,840,438,347.0,100.0,10767046.11
26798,user_26798,51196,expert,United States,521,838,420,338.0,180.0,10087128.46
35655,olivia_smith778,13037,expert,France,534,816,434,329.0,100.0,9650853.37
44619,user_44619,14303,expert,India,598,881,474,384.0,100.0,9354950.53
27322,byteninja1995,24988,expert,United States,499,851,394,354.0,120.0,8919359.88
8677,user_8677,39155,expert,United States,492,884,380,408.0,150.0,7610279.55
38512,user_38512,10103,expert,India,499,835,379,372.0,100.0,6913657.03
16851,user_16851,8853,intermediate,United Kingdom,42,57,21,6.0,81.0,6795966.53
47146,user_47146,12029,expert,India,529,825,401,351.0,100.0,6686736.79
45351,user_45351,11136,expert,India,504,847,376,349.0,100.0,6529383.86
47320,emma_garcia57,14573,expert,France,544,878,421,366.0,100.0,5606102.23
31451,stackpro8256,1247,intermediate,United States,52,75,24,11.0,26.0,5567175.97
